Bit,#,🌟,Episode,Timestamp,Link
Ace of spades,3,,The Sleepy Boys,5m,https://merkle-root.github.io/StreamlineTheCum/?url=http%3A%2F%2Fshoutengine.com%2FCumTown%2FCumTown-0003-ep-3-the-sleepy-boys-19765.mp3&time=300&title=Ace%20of%20spades
Stav in high school - He listenin' yo!,3,,The Sleepy Boys,9.30m,https://merkle-root.github.io/StreamlineTheCum/?url=http%3A%2F%2Fshoutengine.com%2FCumTown%2FCumTown-0003-ep-3-the-sleepy-boys-19765.mp3&time=570&title=Stav%20in%20high%20school%20-%20He%20listenin%27%20yo%21
472 IQ,3,,The Sleepy Boys,19m,https://merkle-root.github.io/StreamlineTheCum/?url=http%3A%2F%2Fshoutengine.com%2FCumTown%2FCumTown-0003-ep-3-the-sleepy-boys-19765.mp3&time=1140&title=472%20IQ
Immigrants work ethic,3,,The Sleepy Boys,43m,https://merkle-root.github.io/StreamlineTheCum/?url=http%3A%2F%2Fshoutengine.com%2FCumTown%2FCumTown-0003-ep-3-the-sleepy-boys-19765.mp3&time=2580&title=Immigrants%20work%20ethic
Books is gay,4,,Beef Squashers,12.30m,https://merkle-root.github.io/StreamlineTheCum/?url=http%3A%2F%2Fshoutengine.com%2FCumTown%2FCumTown-0004-ep-4-beef-squashers-20002.mp3&time=750&title=Books%20is%20gay
French guys,4,,Beef Squashers,25.30m,https://merkle-root.github.io/StreamlineTheCum/?url=http%3A%2F%2Fshoutengine.com%2FCumTown%2FCumTown-0004-ep-4-beef-squashers-20002.mp3&time=1530&title=French%20guys
Smoking weed,4,,Beef Squashers,27m,https://merkle-root.github.io/StreamlineTheCum/?url=http%3A%2F%2Fshoutengine.com%2FCumTown%2FCumTown-0004-ep-4-beef-squashers-20002.mp3&time=1620&title=Smoking%20weed
Black nerds,4,,Beef Squashers,32m,https://merkle-root.github.io/StreamlineTheCum/?url=http%3A%2F%2Fshoutengine.com%2FCumTown%2FCumTown-0004-ep-4-beef-squashers-20002.mp3&time=1920&title=Black%20nerds
Adam's Brandon impression,4,,Beef Squashers,35m,https://merkle-root.github.io/StreamlineTheCum/?url=http%3A%2F%2Fshoutengine.com%2FCumTown%2FCumTown-0004-ep-4-beef-squashers-20002.mp3&time=2100&title=Adam%27s%20Brandon%20impression
Adam's FWB Michelle,4,,Beef Squashers,41m,https://merkle-root.github.io/StreamlineTheCum/?url=http%3A%2F%2Fshoutengine.com%2FCumTown%2FCumTown-0004-ep-4-beef-squashers-20002.mp3&time=2460&title=Adam%27s%20FWB%20Michelle
First Vitamix reference,4,,Beef Squashers,45m,https://merkle-root.github.io/StreamlineTheCum/?url=http%3A%2F%2Fshoutengine.com%2FCumTown%2FCumTown-0004-ep-4-beef-squashers-20002.mp3&time=2700&title=First%20Vitamix%20reference
"The two worst things a man can be: a gambler, and a faggot",5,,Cum Angels,6m,https://merkle-root.github.io/StreamlineTheCum/?url=http%3A%2F%2Fshoutengine.com%2FCumTown%2FCumTown-0005-ep-5-cum-angels-20310.mp3&time=360&title=The%20two%20worst%20things%20a%20man%20can%20be%3A%20a%20gambler%2C%20and%20a%20faggot
Harambe,5,,Cum Angels,10.30m,https://merkle-root.github.io/StreamlineTheCum/?url=http%3A%2F%2Fshoutengine.com%2FCumTown%2FCumTown-0005-ep-5-cum-angels-20310.mp3&time=630&title=Harambe
Glenn Close in Fatal Attraction,6,,Not soon enough,14m,https://merkle-root.github.io/StreamlineTheCum/?url=http%3A%2F%2Fshoutengine.com%2FCumTown%2FCumTown-0006-ep-6-not-soon-enough-20535.mp3&time=840&title=Glenn%20Close%20in%20Fatal%20Attraction
